sampleID,d15N,d13C
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP8+4YR5y1t7pT4/Zul4g7BryOIPuZIcrPg=,0,-30.5
Cekj+eelgP8q1NEnDzdC19xoggzEesTICna+K/T2/i8=,-1.7,-28.8
Cekj+eelgP8HXcbi/ODa0/qRYJ5dTsQvWcxvufLOWzo=,-4.1,-15.6
Cekj+eelgP8uS0GdYPFp5KBQFxDLErk8/9bEYj2O/4c=,-0.6,-20.8
Cekj+eelgP+cMuvhPkH2BUGvTeSn6Qri+6Vh1rUUygg=,-1.2,-12.8
Cekj+eelgP9bPJfGB8NLPOKnWRmFr78F2pP78Z/tca4=,-1.7,-27.6
Cekj+eelgP9bPJfGB8NLPOKnWRmFr78F2pP78Z/tca4=,-1.4,-27.6
Cekj+eelgP+JU1TuJl/+NyRpZCtuTeXl70lA7g/ELJM=,-3.7,-29.3
Cekj+eelgP+Mphfzc7CuRuUDCGvgrsnOcmEkTVoXz+k=,-1,-29.7
Cekj+eelgP8BVlPglPP663jNMIMVWkwLlhghkBSvLho=,-3.9,-15.3
njZEDkTA4mgiARK+2lMt1XKieVoTXptHM32tPh7lGWw=,-6.4,-27.7
njZEDkTA4mgZIetQ+caMIxKyGdrz/cE/iov51c01Qd4=,-4,-26.3
njZEDkTA4mhXBrbFJl/Bv/8VHIpZkxCb/z3lVdZ/1cQ=,-5.3,-29.6
njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=,-7.8,-28.9
njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=,-7.8,-28.9
njZEDkTA4mhMd38hmJ6sFsk82htc7y964/KMIjLZiyo=,-1.9,-30.1
njZEDkTA4mhKOtXkRIPFhBzxgTIuGg/UEsL+4Cxpym4=,-4.1,-29.3
njZEDkTA4misW8k1uxtRp3WXJNHhA4qA7q9yG8Vst2k=,-2.7,-28.8
